Thu Oct 29 22:56:35 +0000 2020	1321949079119822853	1321949079119822853	#COVID19LagosFeb 27: 1  Mar 10: 2Mar 31: 82Apr 1: 91Apr 29: 931May 1: 1,006May 31: 4,943Jun 1: 5,135Jun 3… https://t.co/GGpBeN2fGg	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	1321691793621192705	1321691793621192705	281021618	281021618	sama_on_point	None	None	None	None	281021618	281021618	OMO IYA ALAMALA	sama_on_point	Lagos Nigeria	Patriotic Nigerian. Genuine Comrade. Good Follower. Better Leader. Skillful Footballer. Proud Muslim. IG: sama_on_point	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ro
Thu Oct 29 15:15:24 +0000 2020	1321833015874621440	1321833015874621440	Nigeria’s economy too fragile for a second lockdown - Buhari - #Coronavirus #Covid19lagos #MuhammaduBuhari -READ… https://t.co/Nqcxwzemb7	True	<a href="https://www.shgl.tv" rel="nofollow">Shauntv</a>	None	None	None	None	None	None	None	None	None	2453327562	2453327562	Shauntv	shauntvGlobal	Lagos, Nigeria	Get the latest breaking news and information on the top stories, Live events, photos, and exclusive Politics	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Thu Oct 29 05:54:14 +0000 2020	1321691793621192705	1321691793621192705	#COVID19LagosFeb 27: 1  Mar 10: 2Mar 31: 82Apr 1: 91Apr 29: 931May 1: 1,006May 31: 4,943Jun 1: 5,135Jun 3… https://t.co/r0WCXyl2Oh	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	1321391320120918024	1321391320120918024	281021618	281021618	sama_on_point	None	None	None	None	281021618	281021618	OMO IYA ALAMALA	sama_on_point	Lagos Nigeria	Patriotic Nigerian. Genuine Comrade. Good Follower. Better Leader. Skillful Footballer. Proud Muslim. IG: sama_on_point	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ro
Wed Oct 28 19:56:34 +0000 2020	1321541386521341952	1321541386521341952	#COVID19Lagos Update as at 24th of October, 2020. 📢18 new #COVID19 infections were confirmed in Lagos on October 24… https://t.co/LzgQOnw4eg	True	<a href="https://dlvrit.com/" rel="nofollow">dlvr.it</a>	None	None	None	None	None	None	None	None	None	216331785	216331785	Traffic Updates + Useful Info	trafficbutter	Everywhere	We'll help you avoid #Traffic jams🚦 & get you useful #Info fast ⚡. Trusted by over 337,000 people in #abuja #lagos #enugu #kaduna #oyo #nigeria #ghana & #kenya	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Wed Oct 28 19:56:33 +0000 2020	1321541385342705665	1321541385342705665	#COVID19Lagos Update as at 23rd of October, 2020. 🕯️27 new #COVID19 infections were confirmed in Lagos on October 2… https://t.co/KzsM3o4AnV	True	<a href="https://dlvrit.com/" rel="nofollow">dlvr.it</a>	None	None	None	None	None	None	None	None	None	216331785	216331785	Traffic Updates + Useful Info	trafficbutter	Everywhere	We'll help you avoid #Traffic jams🚦 & get you useful #Info fast ⚡. Trusted by over 337,000 people in #abuja #lagos #enugu #kaduna #oyo #nigeria #ghana & #kenya	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Wed Oct 28 19:26:44 +0000 2020	1321533878423662594	1321533878423662594	Team have fully recovered. 📢14 of the cases are currently under isolation in public and private #COVID19 Care Cen… https://t.co/YX8nGOr2na	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	1321533794680246276	1321533794680246276	830802035947757568	830802035947757568	ProfAkinAbayomi	None	None	None	None	830802035947757568	830802035947757568	Prof. Akin Abayomi	ProfAkinAbayomi	Lagos, Nigeria	The only Official and Personal handle of the Honourable Commissioner for Health of Lagos State.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Wed Oct 28 19:26:24 +0000 2020	1321533794680246276	1321533794680246276	📢Total number of #COVID19 tests conducted so far in Lagos now stands at 132,531📢2449 of the confirmed cases  have… https://t.co/2owcGkKELR	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	1321533791752626176	1321533791752626176	830802035947757568	830802035947757568	ProfAkinAbayomi	None	None	None	None	830802035947757568	830802035947757568	Prof. Akin Abayomi	ProfAkinAbayomi	Lagos, Nigeria	The only Official and Personal handle of the Honourable Commissioner for Health of Lagos State.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Wed Oct 28 19:26:23 +0000 2020	1321533791752626176	1321533791752626176	#COVID19Lagos Update as at 24th of October, 2020.📢18 new #COVID19 infections were confirmed in Lagos on October 2… https://t.co/T0fHx12sp2	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	None	None	830802035947757568	830802035947757568	Prof. Akin Abayomi	ProfAkinAbayomi	Lagos, Nigeria	The only Official and Personal handle of the Honourable Commissioner for Health of Lagos State.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Wed Oct 28 19:15:14 +0000 2020	1321530987549986821	1321530987549986821	Team have fully recovered. 🕯️14 of the cases are currently under isolation in public and private #COVID19 Care Ce… https://t.co/UpAb2kDVsu	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	1321530879366356993	1321530879366356993	830802035947757568	830802035947757568	ProfAkinAbayomi	None	None	None	None	830802035947757568	830802035947757568	Prof. Akin Abayomi	ProfAkinAbayomi	Lagos, Nigeria	The only Official and Personal handle of the Honourable Commissioner for Health of Lagos State.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Wed Oct 28 19:14:49 +0000 2020	1321530879366356993	1321530879366356993	🕯️Total number of #COVID19 tests conducted so far in Lagos now stands at 132,303🕯️2448 of the confirmed cases  ha… https://t.co/LvXL6YSYY2	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	1321530876631592960	1321530876631592960	830802035947757568	830802035947757568	ProfAkinAbayomi	None	None	None	None	830802035947757568	830802035947757568	Prof. Akin Abayomi	ProfAkinAbayomi	Lagos, Nigeria	The only Official and Personal handle of the Honourable Commissioner for Health of Lagos State.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
